siteID,Latitude,Longitude
1009,57.0304399,8.6098559
13002,56.9021591,9.748081
21278,56.2567553,9.5005536
21321,56.1057293,9.8452875
21324,56.0160514,9.5304481
25044,56.0513132,9.0725534
30005,55.6453394,8.2071439
31005,55.7240602,8.7694527
32004,55.7220664,9.3185568
32005,57.3,10.2
36005,55.4293161,9.3215526
42003,54.938974,9.4470434
45003,55.1611958,10.3112406
46007,55.2739585,10.1311576
49001,55.9764832,12.1225048
50002,55.8039883,12.4213673
51004,55.6323464,11.6907619
52005,55.7274971,12.1908744
53017,55.7157273,12.4992839
55002,55.5716977,11.2905568
62003,54.8649609,11.2737559
ABUR,34.400275,-119.7445915
AHND,34.471817,-120.1426165
AQUE,34.46774988,-120.11905
ARIK,39.758206,-102.447148
BARC,29.67606967,-82.008175
BLDE,44.95011,-110.58715
BLUE,34.444218,-96.624201
BULL,34.45850533,-120.33349
Bush_River,39.3609,-76.2537
CARI,65.153224,-147.503973
CARP,34.3916319,-119.5416933
COMO,40.034962,-105.544164
CR,46.002915,-89.610069
CUPE,18.11352,-66.98676
Choptank_River,38.5807,-76.0587
Cluster_10,38.08257133,-121.5707984
Cluster_11,37.97662889,-121.5751111
Cluster_12,38.06205795,-121.821216
Cluster_15,38.04835088,-122.1120981
Cluster_16,38.10844231,-122.0457891
Cluster_17,38.06290962,-121.9889067
Cluster_18,38.04293556,-121.4231444
Cluster_19,38.06278389,-122.2110722
Cluster_20,38.03511601,-122.1524935
Cluster_21,38.17424314,-122.0169899
Cluster_22,38.1375105,-121.6915971
Cluster_23,38.0564654,-122.2908429
Cluster_24,38.17728027,-122.0497258
Cluster_25,37.9729375,-121.37613
Cluster_4,38.04667413,-121.9204982
Cluster_5,38.02454811,-121.8160954
Cluster_6,38.09866981,-121.6824439
Cluster_7,38.04463296,-121.615637
Cluster_8,38.08640436,-121.7367307
East_Long_Lake,46.2364,-89.4948
Elk_River,39.4427,-76.0006
FXL,24.5021848,102.8897505
GOLB,34.4137165,-119.8221
GUIL,18.17406,-66.79868
HOPB,42.471941,-72.329526
IVEE,34.402783,-119.85755
KING,39.105061,-96.603829
LECO,35.690428,-83.50379
LEWI,39.095637,-77.983216
Lake_Taihu,31.33259,120.1641767
MAYF,32.960365,-87.407688
MCDI,38.945861,-96.443022
MCRA,44.259598,-122.165554
ME,43.146,-89.367339
MO,43.071168,-89.35736
MOHK,34.3940708,-119.72957
Magothy_River,39.048,-76.407
NAPL,34.4221216,-119.95154
OKSR,68.669753,-149.143018
POSE,38.89431,-78.147258
PRIN,33.378517,-97.782312
PRLA,47.159887,-99.117722
PRPO,47.13049033,-99.252995
Patapsco_River,39.213,-76.5225
Patuxent_River,38.3127,-76.455
Paul_Lake,46.251449,-89.503468
Peter_Lake,46.2532,-89.5035
Potomac_River,38.1576,-76.598
REDB,40.783934,-111.797887
SCDI,34.05865,-119.75763
SCTW,34.0444335,-119.71513
SP,46.091,-89.6992
SUGG,29.68694767,-82.018776
SYCA,33.750993,-111.508091
South_River,38.9043,-76.4805
Tuesday_Lake,46.2512,-89.4972
WALK,35.957378,-84.279251
WLOU,39.891366,-105.915395
West_Long_Lake,46.236,-89.5021
York_River,37.2345,-76.4234
ZurichLake,47.33,8.56
